"iso","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","umd_tree_cover_loss_from_fires__ha"
"KNA",2008,22.80816580664930529,0.73577702136176223
"KOR",2008,14022.03190561980989242,715.878843849222264680
"LAO",2008,80591.86619557406549983,304.82542573142306954
"LBN",2008,393.79677018281922405,121.68407261237430399
"LBR",2008,36172.38478847200970417,21.06402348681966203
"LBY",2008,5.71957711508246584,2.79495295920247416
"LCA",2008,56.11256767193902010,2.91370115021375895
"LIE",2008,8.85167378465277663,0.1578893473415799
"LKA",2008,6499.71868646487301082,49.70023814276936997
"LSO",2008,5.78641284762044349,0.13435282158311632
"LTU",2008,15203.365864171596008845,105.94385406696396835
"LUX",2008,983.52876027995626098,1.59750747545789937
"LVA",2008,29308.311703309102480416,134.09485103061416407
"MAC",2008,3.64118576193684636,0.64253366818142371
"MAF",2008,2.92932806488389856,0.21970211740234374
"MAR",2008,3409.46599735978569541,1070.27712574972129153
"MDA",2008,135.105310732608503305,10.714865421093751371
"MDG",2008,123502.26731842317540148,4019.96780370967713693
"MDV",2008,6.6529251535896817,0.0
"MEX",2008,184377.24756430301227862,20532.15374696273469929
"MKD",2008,3960.28725261905766292,1163.75559953325065975
"MLI",2008,105.64487599689288176,0.37422696334472657
"MLT",2008,0.9392073522656250,0.1880105450282118
"MMR",2008,119216.27818791287658845,2212.69207880363945390
"MNE",2008,1429.190371314707945554,384.60641550109800671
"MNG",2008,56001.458583593411641295,50952.290887090062292035
"MOZ",2008,204759.70379035451209527,1034.94768571453606594
"MSR",2008,6.56391104961805557,0.29491893966362848
"MTQ",2008,278.12291535140300538,2.45885693366373714
"MUS",2008,188.63573474119684968,0.0
"MWI",2008,9724.43322442542759163,17.08827350617350338
"MYS",2008,367972.32685242624316400,4378.81062515314083207
"MYT",2008,42.79123389549912777,0.30030495684841581
"NAM",2008,33.50885191074435979,2.97264172010091171
"NCL",2008,521.78020264025071430,70.51656830771810027
"NGA",2008,27470.65873612000630325,46.94563064350884648
"NIC",2008,53814.34588212649406742,1338.81921281672293589
"NLD",2008,1150.752281735308339243,42.249914092528206539
"NOR",2008,33815.400520678415880434,1408.781439680044390449
"NPL",2008,2991.81297331052727689,399.30382933818900470
"NZL",2008,61372.244041580027301514,1578.925023511467482476
"OMN",2008,0.0692374569813368,0.0
"PAK",2008,1054.17252262201505256,520.27907098028709714
"PAN",2008,39945.21457636291572559,795.14399906177922918
"PER",2008,126614.39186230298508476,5526.75564556531956263
"PHL",2008,38702.70455170487138238,661.16173546449583349
"PLW",2008,64.54485364530816414,2.89877538829671240
"PNG",2008,71045.21116784167945688,1639.20498775779521195
"POL",2008,47941.060218343807346025,311.235886147096378609
"PRI",2008,1215.50516190981486190,12.87625175613172366
"PRK",2008,18782.937884821962241846,5881.495410192135964310
"PRT",2008,33614.956623463418183494,1596.714264922520619552
"PRY",2008,376342.82950819286340638,9849.49115116433214911
"PSE",2008,2.54626455727105028,0.65243409474500877
"REU",2008,15.10035627544379408,0.0
"ROU",2008,17535.364043664150740572,185.688861716158859540
"RUS",2008,3047988.248155201772463691,2077044.585607957065664592
"RWA",2008,1100.63059530876094457,0.53810111304029679
"SDN",2008,55.47708850872070761,0.52938731830078127
"SEN",2008,285.26992019948275611,1.87726683889594208
"SGP",2008,35.45650921459620950,0.4614710283999295
"SLB",2008,8171.09597364562786190,113.41814632230008239
"SLE",2008,20924.70927603561143153,222.96721578091339448
"SLV",2008,3324.58699047645608775,91.65209130182672311
"SMR",2008,0.3903732103493924,0.0
"SOM",2008,250.20504744421866369,0.76789265502911039
"SRB",2008,3260.221614775185611245,416.43763657101297312
"SSD",2008,9009.28934335024788191,56.67171351719074358
"SUR",2008,7510.65375125858207370,419.54213262406429228
"SVK",2008,13466.113814846515173874,224.64622540092017595
"SVN",2008,1856.872720138649575700,45.284062878927952954
"SWE",2008,293724.063586128727238619,6676.609070789879235860
"SWZ",2008,4582.25895186201543780,38.52172468661784801
"SXM",2008,1.61125397890299492,0.0
"SYR",2008,834.15774239651671415,462.52400709287151385
"TCA",2008,61.23841442164604162,1.50226557231011289
"TCD",2008,3402.11148471743709208,1.59942356136610253
"TGO",2008,1177.75081835511093395,0.1522140948079427
"THA",2008,80143.31797918728445258,561.40155129307748881
"TJK",2008,33.11413628319010832,5.03399633496744813
"TKM",2008,74.74021833385417096,10.1892250648958348
"TLS",2008,832.72914402670746308,96.59318478280166213
"TTO",2008,1269.89814536695701297,18.00869952022406873
"TUN",2008,718.281967520299642125,284.402659431306366904
"TUR",2008,28891.373876399008841279,8309.155651748614356028
"TWN",2008,2311.26756428610205642,65.63979814965495570
"TZA",2008,164250.73289583625870496,222.60241716339543399
"UGA",2008,36925.97897563598797239,7.37776009421091808
"UKR",2008,53015.863344189894777611,1623.120214911021916569
"URY",2008,23597.19781859828350999,543.18455707243829242
"USA",2008,2213723.538747894035718793,420611.324452810543862819
"UZB",2008,43.52042789555555764,5.80936020758029542
"VCT",2008,41.89964469269746439,0.29995587356282555
"VEN",2008,120575.16155323557212852,4064.65260405080681459
"VGB",2008,7.01528945753363761,0.21919333145073788
"VIR",2008,40.01919435114040456,0.51232916495876741
"VNM",2008,108285.75669399913897885,1063.28357638586201794
"VUT",2008,194.05888480496693031,6.52273456915690119
"XAD",2008,1.39677364241319441,0.0
"XCA",2008,16.268166921976996792,0.87157687394748268
"XKO",2008,1143.16179400145143741,259.59718898999138993
"XNC",2008,20.18396634096136565,5.73930369888237819
"ZAF",2008,81375.56536928739306145,2646.43242467739296992
"ZMB",2008,66180.22111928847199190,170.41931818583274985
"ZWE",2008,5435.13086861537342498,70.41009921391546682
"ABW",2009,0.37579783816460508,0.0
"AFG",2009,70.40549692405382598,50.85467319665364864
"AGO",2009,165947.65035121431890169,350.49027109094773392
"AIA",2009,1.9024675801540802,0.0
"ALA",2009,675.746188019688623446,13.334865317311197220
"ALB",2009,1337.340292028937244270,267.80483023176691513
"AND",2009,2.8532996052148440,0.05703379233940973
"ARG",2009,309857.999150470498886906,35654.148497662431764612
"ARM",2009,202.73351745204218803,32.047372890607637523
"ATG",2009,61.53009481933486726,0.73447642279622385
"AUS",2009,203711.091918605221613351,91428.968415074936319603
"AUT",2009,15887.11456221202324316,110.093260374377167964
"AZE",2009,371.834047451176252871,65.003643414754784175
"BDI",2009,882.77601845160236896,0.15361669721055773
"BEL",2009,5176.362958543157157744,47.526279607608511042
"BEN",2009,4929.15882850804095664,1.52712267582058389
"BES",2009,0.95614435155815978,0.0
"BFA",2009,4.53171442904893710,0.15097762836914064
"BGD",2009,5624.91051032373774500,93.23923958524523472
"BGR",2009,6099.640914397603612485,360.455763948339831261
"BHS",2009,823.97196244436344340,148.51165952878903823
"BIH",2009,1296.334774996200670015,178.556338983652275621
"BLR",2009,35542.675146822599482330,1031.21317936365034029
"BLZ",2009,10264.12715824880180071,934.43207582288985102
"BMU",2009,0.45706411255859375,0.0
"BOL",2009,225270.29155884116587444,15887.64013178439836771
"BRA",2009,1817901.23275872078415708,122396.65509422465236625
"BRB",2009,13.26493627910753115,0.14982451955512155
"BRN",2009,2169.47392620264281608,202.12419911508958279
"BTN",2009,1175.45935217854166282,148.19903746417860777
"BWA",2009,41.32463148358724033,1.00499866943576403
"CAF",2009,48252.90322140524975604,340.68080020223484445
"CAN",2009,1550371.987281321387316564,772870.454620119205829278
"CHE",2009,2274.492163626705688626,12.315164879837241426
"CHL",2009,88566.576924203856390475,9348.738479007765913591
"CHN",2009,599603.226926267764173282,59936.241731559791848095
"CIV",2009,108875.81520436880324009,146.27986445398680977
"CMR",2009,36072.01190661804047892,50.63628801429551975
"COD",2009,635215.19156036912841088,3230.42126078547848757
"COG",2009,19073.00668060018501677,175.91933095053635699
"COL",2009,237890.88265869397669741,8520.15440272776289374
"COM",2009,112.20632873138349927,0.75284942715711807
"CPV",2009,7.95718726365668424,0.3717699141965061
"CRI",2009,22464.55477026746512725,784.87747433390793311
"CUB",2009,16259.90060055730471540,2129.54727847366584987
"CUW",2009,4.66494984662977463,0.22561969726779515
"CYM",2009,29.88331568068249626,0.0
"CYP",2009,56.43821076921441274,13.76051643283637058
"CZE",2009,13514.29447960595164983,14.58784606837890591
"DEU",2009,28761.543051774967382680,170.157056698031709226
"DMA",2009,73.78040032252822382,0.66785987237250433
"DNK",2009,6645.678949661105683165,86.598110276588564598
"DOM",2009,13966.84285820672899068,591.64030816948897715
"DZA",2009,10467.273571766800840890,6237.361916959699095270
"ECU",2009,57646.34959892389869446,2785.93083103516055727
"EGY",2009,59.56834375042101163,10.97429643683919283
"ESP",2009,67544.779975570333104290,12963.005831175117087857
"EST",2009,18822.740665222735117774,211.80296904058375825
"ETH",2009,29279.02030635430162442,38.30009164441623781
"FIN",2009,176320.260733418413457747,2159.866701426269672370
"FJI",2009,1790.73982408515500776,40.85838793381186736
"FRA",2009,67053.599175992568564855,1382.878726926829303924
"GAB",2009,18252.22194231392206855,107.28851908324407389
"GBR",2009,37709.699012336003927663,2758.883111450920469786
"GEO",2009,448.366380858064874244,125.20868111936236670
"GGY",2009,0.80613843973741318,0.15116845620659722
"GHA",2009,38252.52538965750505347,52.97475837187012192
"GIN",2009,23388.00516893766442932,16.39720368979709266
"GLP",2009,118.32368389433315471,3.76743547356716567
"GMB",2009,8.99177808664388042,0.0749485565592448
"GNB",2009,7963.97350442810074628,3.77068470278320323
"GNQ",2009,5684.84464312244782345,11.07148600368082794
"GRC",2009,6564.26725021834262871,2078.269231959776259233
"GRD",2009,93.7696341414556982,1.35412943009223099
"GTM",2009,86944.43167575291998788,8091.88456348464067195
"GUF",2009,2861.95399668145477408,237.71323398014435031
"GUY",2009,8267.02650620572677598,487.66774551677948913
"HKG",2009,50.10995732039062522,3.34954899869140622
"HND",2009,51514.12910536207105480,2949.45873789597400630
"HRV",2009,2902.639756458583081706,157.43510185323564815
"HTI",2009,2464.67131535087069130,54.64289698857205224
"HUN",2009,10072.467244434628970804,76.492060035338562076
"IDN",2009,1944963.17245194133989432,129811.09419237193738097
"IMN",2009,47.11863735011502151,8.348328903789062475
"IND",2009,79202.84904167050269319,2884.85771533297163484
"IRL",2009,7230.723850822530265270,149.792378079728725080
"IRN",2009,191.287619243028438846,63.31608218370224864
"IRQ",2009,15.79663199298068887,0.62533004961154518
"ISR",2009,93.09575980332141610,10.04139338339409858
"ITA",2009,14792.700699756795351666,1046.739881467676093016
"JAM",2009,3538.28177720722538017,43.70645328038194850
"JEY",2009,1.26543570226779532,0.25307342109809029
"JPN",2009,40894.990859431179532355,630.408777634697257396
"KAZ",2009,6432.647497601046824179,1769.98290633812554854
"KEN",2009,17696.12608754601516327,62.82355351884727064
